+--------+-----------+---------------------------------------------+---------------------------+------------------------------------------------------------------------+----------------------------------------------+
| Domain | Method    | URI                                         | Name                      | Action                                                                 | Middleware                                   |
+--------+-----------+---------------------------------------------+---------------------------+------------------------------------------------------------------------+----------------------------------------------+
|        | GET|HEAD  | teams/{team}/edit                           | teams.edit                | App\Http\Controllers\TeamController@edit                               | web,auth                                     |
|        | GET|HEAD  | teams/{team}/membership                     | membership.index          | App\Http\Controllers\PlayerTeamController@index                        | web                                          |
|        | POST      | teams/{team}/membership                     | membership.store          | App\Http\Controllers\PlayerTeamController@store                        | web,auth                                     |
|        | GET|HEAD  | teams/{team}/membership/create              | membership.create         | App\Http\Controllers\PlayerTeamController@create                       | web,auth                                     |
|        | DELETE    | teams/{team}/membership/{membership}        | membership.destroy        | App\Http\Controllers\PlayerTeamController@destroy                      | web,auth                                     |
|        | GET|HEAD  | teams/{team}/membership/{membership}        | membership.show           | App\Http\Controllers\PlayerTeamController@show                         | web                                          |
|        | PUT|PATCH | teams/{team}/membership/{membership}        | membership.update         | App\Http\Controllers\PlayerTeamController@update                       | web,auth                                     |
|        | GET|HEAD  | teams/{team}/membership/{membership}/edit   | membership.edit           | App\Http\Controllers\PlayerTeamController@edit                         | web,auth                                     |
|        | POST      | venues                                      | venues.store              | App\Http\Controllers\VenueController@store                             | web,auth                                     |
|        | GET|HEAD  | venues                                      | venues.index              | App\Http\Controllers\VenueController@index                             | web                                          |
|        | GET|HEAD  | venues/create                               | venues.create             | App\Http\Controllers\VenueController@create                            | web,auth                                     |
|        | PUT|PATCH | venues/{venue}                              | venues.update             | App\Http\Controllers\VenueController@update                            | web,auth                                     |
|        | GET|HEAD  | venues/{venue}                              | venues.show               | App\Http\Controllers\VenueController@show                              | web                                          |
|        | DELETE    | venues/{venue}                              | venues.destroy            | App\Http\Controllers\VenueController@destroy                           | web,auth                                     |
|        | GET|HEAD  | venues/{venue}/edit                         | venues.edit               | App\Http\Controllers\VenueController@edit                              | web,auth                                     |
|        | GET|HEAD  | venues/{venue}/membership                   | venues.membership.index   | App\Http\Controllers\TeamVenueController@index                         | web                                          |
|        | POST      | venues/{venue}/membership                   | venues.membership.store   | App\Http\Controllers\TeamVenueController@store                         | web                                          |
|        | GET|HEAD  | venues/{venue}/membership/create            | venues.membership.create  | App\Http\Controllers\TeamVenueController@create                        | web                                          |
|        | GET|HEAD  | venues/{venue}/membership/{membership}      | venues.membership.show    | App\Http\Controllers\TeamVenueController@show                          | web                                          |
|        | PUT|PATCH | venues/{venue}/membership/{membership}      | venues.membership.update  | App\Http\Controllers\TeamVenueController@update                        | web                                          |
|        | DELETE    | venues/{venue}/membership/{membership}      | venues.membership.destroy | App\Http\Controllers\TeamVenueController@destroy                       | web                                          |
|        | GET|HEAD  | venues/{venue}/membership/{membership}/edit | venues.membership.edit    | App\Http\Controllers\TeamVenueController@edit                          | web                                          |
+--------+-----------+---------------------------------------------+---------------------------+------------------------------------------------------------------------+----------------------------------------------+
